Results ID: 2
Created On: 2019-08-16 22:50:46.252000
For Project: Sepsis + EC Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        32 |       32 |        72 |         72 | 65.60031 |  0.48611 |  0.95354 |      41 |             11 |      31 |           17 |       24 |      37 |               24 |            7 |                    3 |           3 |                   3 |             1 | 
        33 |       33 |        71 |         71 | 65.84399 |  0.49296 |  0.94577 |      51 |             15 |      20 |            4 |       19 |      46 |               19 |            4 |                    4 |           1 |                   1 |             1 | 
        34 |       34 |        70 |         70 | 65.46494 |  0.48571 |  0.83844 |      50 |              7 |      20 |            7 |       22 |      41 |               22 |            6 |                    3 |           0 |                   0 |             1 | 
        35 |       35 |        69 |         69 | 65.53493 |  0.47826 |  0.85228 |      49 |              8 |      20 |            8 |       21 |      43 |               21 |            4 |                    2 |           1 |                   1 |             0 | 
        36 |       36 |        69 |         69 | 65.53493 |  0.47826 |  0.84634 |      48 |              8 |      21 |            9 |       19 |      45 |               19 |            4 |                    3 |           0 |                   0 |             1 | 
        37 |       37 |        68 |         68 | 65.70090 |  0.48529 |  0.74985 |      47 |              9 |      21 |            9 |       22 |      44 |               22 |            2 |                    1 |           0 |                   0 |             0 | 
        38 |       38 |        68 |         68 | 65.70090 |  0.48529 |  0.82302 |      53 |             11 |      15 |            5 |       21 |      44 |               21 |            3 |                    3 |           0 |                   0 |             0 | 
        39 |       39 |        68 |         68 | 65.70090 |  0.48529 |  0.81019 |      43 |              4 |      25 |           14 |       24 |      40 |               24 |            3 |                    2 |           1 |                   1 |             0 | 
        40 |       40 |        68 |         68 | 65.70090 |  0.48529 |  0.69761 |      42 |             12 |      26 |           13 |       21 |      41 |               21 |            6 |                    3 |           0 |                   0 |             0 | 
        41 |       41 |        68 |         68 | 65.70090 |  0.48529 |  0.63826 |      41 |             11 |      27 |           12 |       20 |      41 |               20 |            7 |                    4 |           0 |                   0 |             0 | 
        42 |       42 |        68 |         68 | 65.70090 |  0.48529 |  0.69545 |      43 |             12 |      25 |           10 |       23 |      37 |               23 |            7 |                    4 |           1 |                   1 |             0 | 
        43 |       43 |        68 |         68 | 65.70090 |  0.48529 |  0.72208 |      40 |             10 |      28 |           13 |       14 |      46 |               14 |            7 |                    4 |           1 |                   1 |             0 | 
        44 |       44 |        68 |         68 | 65.70090 |  0.48529 |  0.77625 |      46 |             14 |      22 |            8 |       25 |      32 |               25 |            9 |                    7 |           2 |                   2 |             0 | 
        45 |       45 |        68 |         68 | 65.70090 |  0.48529 |  0.80490 |      38 |              9 |      30 |           17 |       18 |      46 |               18 |            2 |                    1 |           1 |                   0 |             1 | 
        46 |       46 |        67 |         67 | 65.54764 |  0.49254 |  0.69675 |      43 |             17 |      24 |           11 |       28 |      33 |               28 |            6 |                    5 |           0 |                   0 |             0 | 
        47 |       47 |        67 |         67 | 65.54764 |  0.49254 |  0.78671 |      48 |             11 |      19 |            6 |       17 |      46 |               17 |            4 |                    1 |           0 |                   0 |             0 | 
        48 |       48 |        67 |         67 | 65.54764 |  0.49254 |  0.74132 |      49 |              7 |      18 |            6 |       29 |      30 |               29 |            6 |                    5 |           2 |                   2 |             0 | 
        49 |       49 |        67 |         67 | 65.54764 |  0.49254 |  0.81176 |      45 |              8 |      22 |           12 |       14 |      45 |               14 |            5 |                    2 |           2 |                   2 |             1 | 
        50 |       50 |        66 |         66 | 65.36867 |  0.48485 |  0.60501 |      45 |              8 |      21 |            7 |       22 |      37 |               22 |            6 |                    5 |           0 |                   0 |             1 | 
        51 |       51 |        65 |         65 | 65.56543 |  0.49231 |  0.80566 |      39 |              7 |      26 |           12 |       26 |      37 |               26 |            0 |                    0 |           2 |                   2 |             0 | 
        52 |       52 |        65 |         65 | 65.56543 |  0.49231 |  0.87656 |      44 |             14 |      21 |            9 |       22 |      38 |               22 |            4 |                    4 |           0 |                   0 |             1 | 
        53 |       53 |        64 |         64 | 65.63056 |  0.50000 |  0.69086 |      43 |             12 |      21 |           12 |       16 |      42 |               16 |            5 |                    4 |           1 |                   1 |             0 | 
        54 |       54 |        64 |         64 | 65.63056 |  0.50000 |  0.78351 |      47 |             11 |      17 |            7 |       21 |      39 |               21 |            3 |                    2 |           0 |                   0 |             1 | 
        55 |       55 |        63 |         63 | 65.88149 |  0.49206 |  0.68574 |      40 |              7 |      23 |           13 |       20 |      41 |               20 |            2 |                    1 |           0 |                   0 |             0 | 
        56 |       56 |        63 |         63 | 65.88149 |  0.49206 |  0.77438 |      35 |              6 |      28 |           11 |       21 |      39 |               21 |            3 |                    2 |           0 |                   0 |             0 | 
        57 |       57 |        63 |         63 | 65.88149 |  0.49206 |  0.68886 |      38 |             13 |      25 |           10 |       18 |      38 |               18 |            7 |                    6 |           0 |                   0 |             0 | 
        58 |       58 |        63 |         63 | 65.88149 |  0.49206 |  0.61716 |      43 |             14 |      20 |            9 |       19 |      40 |               19 |            4 |                    3 |           0 |                   0 |             0 | 
        59 |       59 |        63 |         63 | 65.88149 |  0.49206 |  0.78656 |      44 |             10 |      19 |            9 |       23 |      35 |               23 |            3 |                    2 |           2 |                   2 |             0 | 
        60 |       60 |        63 |         63 | 65.88149 |  0.49206 |  0.75132 |      50 |              9 |      13 |            3 |       20 |      36 |               20 |            6 |                    3 |           1 |                   0 |             0 | 
         1 |        5 |       446 |        100 | 66.78275 |  0.45000 |  3.38530 |     205 |             75 |     241 |           30 |       72 |     252 |               72 |           68 |                   33 |          35 |                   8 |            19 | 
         6 |       10 |       396 |         81 | 66.58186 |  0.46914 |  1.52013 |     236 |             55 |     160 |           58 |       99 |     245 |               99 |           41 |                   26 |           7 |                   7 |             4 | 
        11 |       15 |       382 |         77 | 66.37271 |  0.45455 |  1.22822 |     260 |             64 |     122 |           60 |      115 |     228 |              115 |           33 |                   18 |           4 |                   3 |             2 | 
        16 |       20 |       375 |         75 | 65.96756 |  0.46667 |  0.95047 |     259 |             50 |     116 |           48 |      116 |     234 |              116 |           20 |                   14 |           5 |                   4 |             0 | 
        21 |       25 |       371 |         75 | 65.96756 |  0.46667 |  0.89520 |     261 |             63 |     110 |           56 |      109 |     229 |              109 |           24 |                   16 |           6 |                   4 |             3 | 
        26 |       30 |       360 |         72 | 65.60031 |  0.48611 |  0.76031 |     249 |             53 |     111 |           54 |      102 |     219 |              102 |           37 |                   29 |           2 |                   2 |             0 | 
        31 |       35 |       354 |         72 | 65.60031 |  0.48611 |  0.88376 |     238 |             49 |     116 |           49 |      102 |     210 |              102 |           32 |                   19 |           7 |                   7 |             3 | 
