Results ID: 3
Created On: 2019-08-16 22:52:11.341000
For Project: Sepsis + EC BAD Treatment Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        32 |       32 |        54 |         54 | 67.08621 |  0.37037 |  6.21217 |      23 |              7 |      31 |            5 |        8 |      31 |                8 |           14 |                    6 |           0 |                   0 |             1 | 
        33 |       33 |        53 |         53 | 66.96128 |  0.37736 |  6.21901 |      19 |              4 |      34 |            7 |        9 |      31 |                9 |           11 |                    1 |           2 |                   2 |             0 | 
        34 |       34 |        53 |         53 | 66.96128 |  0.37736 |  6.38783 |      20 |              6 |      33 |            5 |        5 |      33 |                5 |           12 |                    2 |           1 |                   1 |             2 | 
        35 |       35 |        51 |         51 | 67.20883 |  0.37255 |  6.34579 |      20 |              5 |      31 |            4 |        8 |      30 |                8 |           12 |                    3 |           1 |                   1 |             0 | 
        36 |       36 |        51 |         51 | 67.20883 |  0.37255 |  6.30488 |      21 |              7 |      30 |            6 |        6 |      30 |                6 |           14 |                    4 |           1 |                   0 |             0 | 
        37 |       37 |        51 |         51 | 67.20883 |  0.37255 |  6.15178 |      21 |              5 |      30 |            5 |        7 |      29 |                7 |           13 |                    1 |           2 |                   1 |             0 | 
        38 |       38 |        51 |         51 | 67.20883 |  0.37255 |  6.24566 |      25 |              6 |      26 |            2 |        8 |      30 |                8 |            9 |                    0 |           3 |                   2 |             1 | 
        39 |       39 |        50 |         50 | 67.22792 |  0.38000 |  6.30568 |      21 |              4 |      29 |            8 |        5 |      31 |                5 |           11 |                    2 |           2 |                   0 |             1 | 
        40 |       40 |        49 |         49 | 67.08943 |  0.36735 |  6.56665 |      26 |              6 |      23 |            1 |        6 |      29 |                6 |           12 |                    3 |           1 |                   1 |             1 | 
        41 |       41 |        48 |         48 | 67.20803 |  0.37500 |  6.51999 |      21 |              1 |      27 |            5 |        9 |      25 |                9 |           11 |                    2 |           3 |                   3 |             0 | 
        42 |       42 |        48 |         48 | 67.20803 |  0.37500 |  6.64597 |      23 |              3 |      25 |            1 |        5 |      26 |                5 |           12 |                    4 |           3 |                   2 |             2 | 
        43 |       43 |        46 |         46 | 67.33689 |  0.34783 |  6.62743 |      18 |              4 |      28 |            7 |        3 |      28 |                3 |           13 |                    4 |           2 |                   0 |             0 | 
        44 |       44 |        46 |         46 | 67.33689 |  0.34783 |  6.78810 |      17 |              3 |      29 |            4 |        5 |      26 |                5 |           12 |                    4 |           3 |                   1 |             0 | 
        45 |       45 |        46 |         46 | 67.33689 |  0.34783 |  6.72585 |      12 |              4 |      34 |            9 |        8 |      24 |                8 |           11 |                    1 |           1 |                   0 |             2 | 
        46 |       46 |        44 |         44 | 68.21031 |  0.36364 |  6.70125 |      14 |              4 |      30 |            2 |        4 |      28 |                4 |           10 |                    3 |           2 |                   1 |             0 | 
        47 |       47 |        44 |         44 | 68.21031 |  0.36364 |  6.67586 |      17 |              5 |      27 |            2 |        4 |      28 |                4 |           10 |                    1 |           1 |                   0 |             1 | 
        48 |       48 |        43 |         43 | 68.45387 |  0.37209 |  6.63635 |      22 |              5 |      21 |            0 |        5 |      25 |                5 |           10 |                    4 |           2 |                   2 |             1 | 
        49 |       49 |        42 |         42 | 68.33319 |  0.38095 |  6.77457 |      15 |              1 |      27 |            7 |        7 |      20 |                7 |           12 |                    4 |           2 |                   2 |             1 | 
        50 |       50 |        41 |         41 | 67.95471 |  0.36585 |  6.98637 |      17 |              5 |      24 |            3 |        4 |      22 |                4 |           11 |                    1 |           4 |                   2 |             0 | 
        51 |       51 |        41 |         41 | 67.95471 |  0.36585 |  6.88239 |      19 |              5 |      22 |            3 |        5 |      20 |                5 |           11 |                    2 |           4 |                   2 |             1 | 
        52 |       52 |        40 |         40 | 69.02598 |  0.35000 |  6.46752 |      17 |              2 |      23 |            3 |        3 |      21 |                3 |           11 |                    2 |           4 |                   2 |             1 | 
        53 |       53 |        39 |         39 | 69.55745 |  0.35897 |  6.22848 |      18 |              3 |      21 |            2 |        4 |      19 |                4 |           11 |                    2 |           4 |                   1 |             1 | 
        54 |       54 |        38 |         38 | 69.36540 |  0.36842 |  6.27500 |      18 |              4 |      20 |            3 |        2 |      21 |                2 |           10 |                    3 |           4 |                   2 |             1 | 
