Results ID: 1
Created On: 2019-08-16 22:43:56.794000
For Project: Sepsis Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        32 |       32 |        73 |         73 | 66.52163 |  0.46575 |  0.84997 |      47 |             10 |      26 |           10 |       16 |      47 |               16 |            8 |                    5 |           2 |                   2 |             0 | 
        33 |       33 |        73 |         73 | 66.52163 |  0.46575 |  0.84871 |      51 |             13 |      22 |            9 |       26 |      41 |               26 |            5 |                    4 |           0 |                   0 |             1 | 
        34 |       34 |        72 |         72 | 66.74539 |  0.47222 |  0.86276 |      49 |              9 |      23 |           10 |       17 |      51 |               17 |            3 |                    0 |           1 |                   1 |             0 | 
        35 |       35 |        72 |         72 | 66.74539 |  0.47222 |  0.98251 |      45 |              7 |      27 |           11 |       21 |      44 |               21 |            5 |                    4 |           2 |                   2 |             0 | 
        36 |       36 |        72 |         72 | 66.74539 |  0.47222 |  0.93780 |      48 |             14 |      24 |           11 |       22 |      46 |               22 |            3 |                    1 |           0 |                   0 |             1 | 
        37 |       37 |        71 |         71 | 66.39863 |  0.46479 |  1.00685 |      54 |             13 |      17 |            6 |       25 |      41 |               25 |            5 |                    3 |           0 |                   0 |             0 | 
        38 |       38 |        71 |         71 | 66.39863 |  0.46479 |  0.90454 |      53 |              7 |      18 |            8 |       18 |      49 |               18 |            4 |                    1 |           0 |                   0 |             0 | 
        39 |       39 |        71 |         71 | 66.39863 |  0.46479 |  0.68764 |      51 |              7 |      20 |            9 |       26 |      39 |               26 |            6 |                    5 |           0 |                   0 |             0 | 
        40 |       40 |        71 |         71 | 66.39863 |  0.46479 |  0.74256 |      52 |             10 |      19 |            9 |       12 |      49 |               12 |           10 |                    7 |           0 |                   0 |             0 | 
        41 |       41 |        71 |         71 | 66.39863 |  0.46479 |  0.62660 |      52 |              8 |      19 |            8 |       22 |      38 |               22 |           11 |                    7 |           0 |                   0 |             0 | 
